vibration,swing,temperature
1.23,0.45,28.5
1.25,0.47,28.6
1.22,0.44,28.5
1.28,0.48,28.7
1.24,0.46,28.6
1.26,0.45,28.5
1.23,0.44,28.4
1.25,0.46,28.5
1.27,0.47,28.6
1.24,0.45,28.5
1.22,0.43,28.4
1.26,0.46,28.6
1.28,0.48,28.7
1.25,0.45,28.6
1.23,0.44,28.5
1.27,0.47,28.6
1.24,0.45,28.5
1.26,0.46,28.6
1.22,0.43,28.4
1.25,0.45,28.5
1.28,0.48,28.7
1.24,0.45,28.6
1.26,0.46,28.6
1.23,0.44,28.5
1.25,0.46,28.6
1.27,0.47,28.7
1.24,0.45,28.6
1.22,0.43,28.4
1.26,0.46,28.6
1.28,0.48,28.7
1.25,0.45,28.6
1.23,0.44,28.5
1.27,0.47,28.6
1.24,0.45,28.5
1.26,0.46,28.6
1.22,0.43,28.4
1.25,0.45,28.5
1.28,0.48,28.7
1.24,0.45,28.6
1.26,0.46,28.6
1.23,0.44,28.5
1.25,0.46,28.6
1.27,0.47,28.7
1.24,0.45,28.6
1.22,0.43,28.4
1.26,0.46,28.6
1.28,0.48,28.7
1.25,0.45,28.6
1.23,0.44,28.5
1.27,0.47,28.6
3.50,1.20,35.0
3.80,1.35,36.0
4.20,1.50,37.0
5.00,1.80,38.5
4.80,1.75,38.0
4.50,1.65,37.5
4.20,1.50,37.0
3.80,1.35,36.0
3.50,1.20,35.0
1.25,0.46,28.6
1.27,0.47,28.7
1.24,0.45,28.6
1.22,0.43,28.4
1.26,0.46,28.6
1.28,0.48,28.7
1.25,0.45,28.6
1.23,0.44,28.5
1.27,0.47,28.6
1.24,0.45,28.5
1.26,0.46,28.6
1.22,0.43,28.4
1.25,0.45,28.5
1.28,0.48,28.7
1.24,0.45,28.6
1.26,0.46,28.6
1.23,0.44,28.5
1.25,0.46,28.6
1.27,0.47,28.7
1.24,0.45,28.6
1.22,0.43,28.4
1.26,0.46,28.6
1.28,0.48,28.7
1.25,0.45,28.6
1.23,0.44,28.5
1.27,0.47,28.6
1.24,0.45,28.5
1.26,0.46,28.6
1.22,0.43,28.4
1.25,0.45,28.5
1.28,0.48,28.7
1.24,0.45,28.6
1.26,0.46,28.6
1.23,0.44,28.5
1.25,0.46,28.6
1.27,0.47,28.7
1.24,0.45,28.6
1.22,0.43,28.4
1.26,0.46,28.6
1.28,0.48,28.7
1.25,0.45,28.6
1.23,0.44,28.5
1.27,0.47,28.6
1.24,0.45,28.5
1.26,0.46,28.6
