time,temperature,humidity
0,292.24,50.72
300,295.64,47.73
600,306.61,46.57
900,316.46,47.22
1200,323.23,46.58
1500,326.62,43.68
1800,333.40,39.92
2100,339.92,40.14
2400,347.15,38.79
2700,352.85,37.36
3000,359.75,36.27
3300,364.48,38.12
3600,371.14,35.87
3900,385.92,34.96
4200,391.53,32.92
4500,398.01,33.99
4800,406.35,32.61
5100,415.08,31.18
5400,419.72,28.45
5700,432.70,28.15
6000,436.26,26.24
6300,450.49,26.86
6600,455.99,28.13
6900,466.56,25.17
7200,470.72,24.91
7500,484.02,24.50
7800,486.67,22.52
8100,499.36,22.72
8400,505.58,21.65
8700,513.40,21.77
9000,520.95,20.18
9300,530.20,21.08
9600,541.36,21.43
9900,547.12,15.95
10200,557.74,17.58
10500,565.56,17.45
10800,575.15,17.28
11100,587.43,16.10
11400,596.24,14.52
11700,606.83,16.51
12000,627.41,14.50
12300,635.82,15.23
12600,650.10,14.55
12900,658.55,15.16
13200,669.57,13.31
13500,686.89,13.19
13800,697.93,11.28
14100,707.21,12.00
14400,725.05,10.68
14700,734.11,11.00
15000,747.01,11.38
15300,758.42,11.49
15600,774.72,12.00
15900,784.29,9.90
16200,797.14,10.11
16500,813.87,8.22
16800,820.06,11.27
17100,834.47,9.22
17400,848.26,9.72
17700,859.63,9.39
18000,875.43,9.26
18300,883.63,8.70
18600,895.50,8.33
18900,902.71,7.42
19200,920.22,6.82
19500,930.12,7.25
19800,936.73,6.52
20100,953.71,5.48
20400,958.01,5.61
20700,973.38,5.24
21000,986.06,6.76
21300,996.33,8.52
21600,1005.61,6.28
21900,1018.26,6.03
22200,1031.26,5.42
22500,1039.63,3.25
22800,1051.57,5.68
23100,1064.37,4.07
23400,1073.91,4.00
23700,1086.89,3.25
24000,1091.95,5.78
24300,1107.70,4.05
24600,1117.68,2.64
24900,1127.02,3.55
25200,1140.03,4.66
25500,1149.05,4.55
25800,1159.95,3.34
26100,1174.07,4.13
26400,1183.00,3.76
26700,1196.25,4.06
27000,1202.49,2.61
27300,1220.58,3.56
27600,1229.57,2.93
27900,1239.86,1.81
28200,1250.49,1.27
28500,1263.99,2.63
28800,1270.52,2.58
29100,1284.27,3.04
29400,1294.10,2.20
29700,1303.25,2.46
30000,1317.56,4.10
30300,1326.88,-0.44
30600,1338.20,1.85
30900,1347.39,2.10
31200,1356.01,0.90
31500,1367.45,1.76
31800,1373.78,2.17
32100,1385.77,2.50
32400,1402.62,1.16
32700,1408.35,2.46
33000,1417.25,0.49
33300,1431.95,1.93
33600,1439.27,3.36
33900,1451.06,0.48
34200,1457.93,1.81
34500,1469.21,2.31
34800,1480.90,0.98
35100,1493.41,1.16
35400,1503.97,0.61
35700,1511.56,2.56
36000,1525.92,3.13
36300,1523.96,2.95
36600,1525.23,1.32
36900,1522.89,2.81
37200,1523.15,1.05
37500,1522.83,0.13
37800,1521.31,2.96
38100,1526.88,0.33
38400,1521.22,1.28
38700,1523.22,1.97
39000,1523.94,0.21
39300,1520.39,1.03
39600,1522.26,0.73
39900,1521.75,1.47
40200,1525.01,1.65
40500,1518.36,0.96
40800,1525.20,-0.60
41100,1525.48,0.67
41400,1524.24,0.38
41700,1528.91,-0.29
42000,1525.96,0.73
42300,1528.22,2.54
42600,1523.09,0.70
42900,1523.54,-0.57
43200,1520.72,1.83
43500,1509.35,1.94
43800,1504.35,3.14
44100,1490.66,-0.22
44400,1480.71,0.63
44700,1470.91,1.38
45000,1459.61,1.99
45300,1455.70,-0.80
45600,1443.15,1.11
45900,1429.51,0.51
46200,1417.44,0.04
46500,1407.52,-0.17
46800,1397.45,0.21
47100,1388.14,0.04
47400,1375.27,1.50
47700,1368.82,1.02
48000,1357.95,-1.71
48300,1347.69,-2.41
48600,1338.35,-0.48
48900,1326.71,1.02
49200,1313.21,-0.66
49500,1302.95,-0.71
49800,1294.96,0.27
50100,1282.81,1.15
50400,1268.44,0.28
50700,1252.92,1.01
51000,1231.57,0.77
51300,1211.71,0.09
51600,1191.26,0.01
51900,1174.16,-1.11
52200,1151.10,-0.46
52500,1130.31,1.07
52800,1112.21,-0.43
53100,1090.26,-2.92
53400,1070.57,0.25
53700,1051.45,0.83
54000,1029.79,-0.59
54300,1007.73,0.23
54600,987.44,0.81
54900,970.04,2.05
55200,947.66,0.07
55500,927.46,-0.24
55800,908.78,-1.65
56100,885.80,0.05
56400,870.41,1.81
56700,847.63,1.09
57000,824.93,-0.87
57300,807.76,0.62
57600,785.19,-1.43
57900,764.46,-0.80
58200,744.01,-0.18
58500,721.51,-0.11
58800,702.03,-1.45
59100,683.84,0.34
59400,663.10,1.15
59700,643.18,-0.98
60000,623.50,-0.48
60300,602.21,0.30
60600,581.62,0.70
60900,559.58,-1.59
61200,542.18,0.28
61500,519.65,-0.52
61800,499.22,-0.49
62100,484.57,-0.35
62400,459.83,-0.31
62700,439.91,0.69
63000,419.55,0.85
63300,399.28,-0.04
63600,378.05,-0.54
63900,354.98,-0.90
64200,339.01,0.60
64500,319.06,2.40
64800,297.08,0.89
65100,276.29,-0.97
65400,257.08,-1.18
65700,235.28,1.59
66000,217.57,-0.09
66300,196.36,1.30
66600,172.97,-1.84
66900,153.61,-0.33
67200,138.03,0.36
67500,117.81,0.21
67800,93.31,-2.31
68100,76.14,0.27
68400,56.68,0.81
68700,35.56,-0.24
69000,15.74,-0.89
69300,-9.32,0.55
69600,-30.40,1.93
69900,-49.02,-1.38
70200,-67.49,-1.32
70500,-89.15,-1.26
70800,-108.21,1.22
71100,-127.57,1.16
71400,-149.17,0.20
71700,-169.78,-0.24
72000,-190.90,-1.17
72300,-209.12,0.07
72600,-228.14,0.08
72900,-252.03,0.27
73200,-273.47,-0.60
73500,-290.00,1.02
73800,-315.84,-1.45
74100,-327.62,0.50
74400,-353.47,0.19
74700,-374.23,1.86
75000,-390.36,-0.99
75300,-410.54,-2.35
75600,-434.60,-0.86
75900,-452.03,2.25
76200,-472.15,-0.22
76500,-490.89,1.38
76800,-513.17,1.69
77100,-535.45,1.76
77400,-551.21,0.81
77700,-574.44,-1.03
78000,-594.27,-2.07
78300,-614.53,1.41
78600,-639.10,0.56
78900,-657.46,-1.87
79200,-676.74,0.47
79500,-697.07,-0.74
79800,-717.79,-1.10
80100,-733.84,0.69
80400,-762.25,1.60
80700,-782.33,0.46
81000,-799.59,-0.35
81300,-818.51,0.32
81600,-841.39,1.07
81900,-857.87,-2.75
82200,-876.97,1.64
82500,-901.93,-0.32
82800,-919.77,1.21
83100,-940.89,-0.91
83400,-958.82,-1.22
83700,-985.25,0.95
84000,-1000.33,-0.49
84300,-1022.79,-1.06
84600,-1042.81,0.07
84900,-1063.89,-1.31
85200,-1081.90,0.92
85500,-1104.57,0.57
85800,-1123.59,-0.48
86100,-1140.88,0.65
86400,-1161.72,2.37
